0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,,,Expected Occurrence,ExpFrac
1,34359738368,8,4209.24199,127.493112,3.141672,4.75E-06,0.881190037,,134217728,0.00390625
2,Value,Occurrences,Fraction,Bias,Rel_Bias,NumSTDev,RMSE,Population Stdev,,
3,104,134233641,0.003906713,4.63129E-07,15913,0.338738966,253223569,,,
3,105,134184737,0.00390529,-9.60164E-07,-32991,-0.702277208,1088406081,,,
3,106,134121461,0.003903448,-2.80174E-06,-96267,-2.049229183,9267335289,,,
3,107,134156500,0.003904468,-1.78197E-06,-61228,-1.303356336,3748867984,,,
3,108,134185822,0.003905321,-9.28587E-07,-31906,-0.679180886,1017992836,,,
3,109,134169007,0.003904832,-1.41797E-06,-48721,-1.037120665,2373735841,,,
3,110,134187455,0.003905369,-8.8106E-07,-30273,-0.644419324,916454529,,,
3,111,134185000,0.003905297,-9.5251E-07,-32728,-0.696678745,1071121984,,,
3,112,134268384,0.003907724,1.47428E-06,50656,1.07831088,2566030336,,,
3,113,134255102,0.003907338,1.08773E-06,37374,0.795577836,1396815876,,,
3,114,134219047,0.003906288,3.8388E-08,1319,0.028077465,1739761,,,
3,115,134203843,0.003905846,-4.04107E-07,-13885,-0.295569065,192793225,,,
3,116,134199145,0.003905709,-5.40836E-07,-18583,-0.395575077,345327889,,,
3,117,134169925,0.003904859,-1.39125E-06,-47803,-1.01757926,2285126809,,,
3,118,134189016,0.003905414,-8.35629E-07,-28712,-0.611190422,824378944,,,
3,119,134196823,0.003905642,-6.08416E-07,-20905,-0.445003335,437019025,,,
3,120,134257587,0.00390741,1.16005E-06,39859,0.848475864,1588739881,,,
3,121,134206667,0.003905928,-3.21917E-07,-11061,-0.235454766,122345721,,,
3,122,134186755,0.003905349,-9.01433E-07,-30973,-0.659320177,959326729,,,
3,123,134198137,0.00390568,-5.70173E-07,-19591,-0.417032305,383807281,,,
3,124,134254759,0.003907328,1.07774E-06,37031,0.788276418,1371294961,,,
3,125,134203973,0.00390585,-4.00323E-07,-13755,-0.292801764,189200025,,,
3,126,134229651,0.003906597,3.47005E-07,11923,0.253804103,142157929,,,
3,127,134264467,0.00390761,1.36028E-06,46739,0.994929964,2184534121,,,
3,128,134352538,0.003910173,3.92349E-06,134810,2.869691444,18173736100,,,
3,129,134273685,0.003907879,1.62856E-06,55957,1.191152912,3131185849,,,
3,130,134270045,0.003907773,1.52263E-06,52317,1.113668476,2737068489,,,
3,131,134272102,0.003907832,1.58249E-06,54374,1.157455697,2956531876,,,
3,132,134274711,0.003907908,1.65842E-06,56983,1.212993306,3247062289,,,
3,133,134219628,0.003906305,5.52973E-08,1900,0.040445173,3610000,,,
3,134,134244418,0.003907027,7.76781E-07,26690,0.568148243,712356100,,,
3,135,134263019,0.003907568,1.31814E-06,45291,0.964106484,2051274681,,,
3,136,134253256,0.003907284,1.034E-06,35528,0.756282157,1262238784,,,
3,137,134232445,0.003906678,4.28321E-07,14717,0.313279794,216590089,,,
3,138,134160114,0.003904573,-1.67679E-06,-57614,-1.22642536,3319372996,,,
3,139,134211547,0.00390607,-1.79891E-07,-6181,-0.131574533,38204761,,,
3,140,134246759,0.003907095,8.44913E-07,29031,0.617980953,842798961,,,
3,141,134208991,0.003905996,-2.5428E-07,-8737,-0.185983934,76335169,,,
3,142,134237683,0.003906831,5.80767E-07,19955,0.424780749,398202025,,,
3,143,134240907,0.003906925,6.74598E-07,23179,0.493409821,537266041,,,
3,144,134272648,0.003907848,1.59838E-06,54920,1.169078363,3016206400,,,
3,145,134245619,0.003907062,8.11735E-07,27891,0.59371385,777907881,,,
3,146,134200189,0.00390574,-5.10452E-07,-17539,-0.373351519,307616521,,,
3,147,134223483,0.003906417,1.67493E-07,5755,0.1225063,33120025,,,
3,148,134180550,0.003905168,-1.08202E-06,-37178,-0.791405597,1382203684,,,
3,149,134150792,0.003904302,-1.94809E-06,-66936,-1.42486215,4480428096,,,
3,150,134166562,0.003904761,-1.48913E-06,-51166,-1.089167216,2617959556,,,
3,151,134216575,0.003906216,-3.35567E-08,-1153,-0.024543834,1329409,,,
3,152,134239878,0.003906895,6.4465E-07,22150,0.471505567,490622500,,,
3,153,134210404,0.003906037,-2.13156E-07,-7324,-0.155905498,53640976,,,
3,154,134156965,0.003904482,-1.76844E-06,-60763,-1.293457913,3692142169,,,
3,155,134187021,0.003905356,-8.93691E-07,-30707,-0.653657853,942919849,,,
3,156,134240511,0.003906913,6.63073E-07,22783,0.484980196,519065089,,,
3,157,134195468,0.003905602,-6.47851E-07,-22260,-0.47384713,495507600,,,
3,158,134243922,0.003907012,7.62346E-07,26194,0.557589924,686125636,,,
3,159,134240033,0.003906899,6.49161E-07,22305,0.474805042,497513025,,,
3,160,134258415,0.003907434,1.18415E-06,40687,0.866101445,1655431969,,,
3,161,134226528,0.003906506,2.56114E-07,8800,0.187325011,77440000,,,
3,162,134204526,0.003905866,-3.84229E-07,-13202,-0.28103009,174292804,,,
3,163,134199774,0.003905727,-5.2253E-07,-17954,-0.382185596,322346116,,,
3,164,134172894,0.003904945,-1.30484E-06,-44834,-0.954378356,2010087556,,,
3,165,134136123,0.003903875,-2.37502E-06,-81605,-1.737120171,6659376025,,,
3,166,134168150,0.003904807,-1.44291E-06,-49578,-1.055363566,2457978084,,,
3,167,134177010,0.003905065,-1.18505E-06,-40718,-0.86676134,1657955524,,,
3,168,134193031,0.003905531,-7.18777E-07,-24697,-0.525723385,609941809,,,
3,169,134139691,0.003903979,-2.27118E-06,-78037,-1.661168394,6089773369,,,
3,170,134117559,0.003903335,-2.9153E-06,-100169,-2.132290796,10033828561,,,
3,171,134132460,0.003903768,-2.48163E-06,-85268,-1.815094207,7270631824,,,
3,172,134160866,0.003904595,-1.6549E-06,-56862,-1.210417587,3233287044,,,
3,173,134132527,0.00390377,-2.47968E-06,-85201,-1.813667982,7259210401,,,
3,174,134160624,0.003904588,-1.66195E-06,-57104,-1.215569025,3260866816,,,
3,175,134158588,0.003904529,-1.7212E-06,-59140,-1.25890922,3497539600,,,
3,176,134230206,0.003906613,3.63158E-07,12478,0.265618351,155700484,,,
3,177,134208423,0.003905979,-2.70811E-07,-9305,-0.198074912,86583025,,,
3,178,134160639,0.003904588,-1.66151E-06,-57089,-1.215249721,3259153921,,,
3,179,134201393,0.003905775,-4.75411E-07,-16335,-0.347722051,266832225,,,
3,180,134176579,0.003905052,-1.19759E-06,-41149,-0.875936008,1693240201,,,
3,181,134120655,0.003903425,-2.8252E-06,-97073,-2.066386451,9423167329,,,
3,182,134175745,0.003905028,-1.22187E-06,-41983,-0.89368931,1762572289,,,
3,183,134176880,0.003905061,-1.18883E-06,-40848,-0.869528641,1668559104,,,
3,184,134217474,0.003906243,-7.39237E-09,-254,-0.005406881,64516,,,
3,185,134173502,0.003904963,-1.28715E-06,-44226,-0.941435901,1955939076,,,
3,186,134155336,0.003904434,-1.81585E-06,-62392,-1.328134326,3892761664,,,
